DEBUG   |170219 05:08:22| -- Resetting Akeeba Engine factory (backend.id24)
DEBUG   |170219 05:08:22|Fetching filter data from database
DEBUG   |170219 05:08:22|Loading filters
DEBUG   |170219 05:08:22|-- Loading filter Regextabledata
DEBUG   |170219 05:08:23|-- Loading filter Regexdirectories
DEBUG   |170219 05:08:23|-- Loading filter Regexskipfiles
DEBUG   |170219 05:08:23|-- Loading filter Incremental
DEBUG   |170219 05:08:23|-- Loading filter Regexfiles
DEBUG   |170219 05:08:23|-- Loading filter Multidb
DEBUG   |170219 05:08:23|-- Loading filter Regextables
DEBUG   |170219 05:08:23|-- Loading filter Tabledata
DEBUG   |170219 05:08:23|-- Loading filter Skipdirs
DEBUG   |170219 05:08:23|-- Loading filter Tables
DEBUG   |170219 05:08:23|-- Loading filter Extradirs
DEBUG   |170219 05:08:23|-- Loading filter Skipfiles
DEBUG   |170219 05:08:23|-- Loading filter Directories
DEBUG   |170219 05:08:23|-- Loading filter Files
DEBUG   |170219 05:08:23|-- Loading filter Regexskipdirs
DEBUG   |170219 05:08:23|-- Loading filter Excludefiles
DEBUG   |170219 05:08:23|-- Loading filter Excludetabledata
DEBUG   |170219 05:08:23|-- Loading filter Cvsfolders
DEBUG   |170219 05:08:23|-- Loading filter Joomlaskipfiles
DEBUG   |170219 05:08:23|-- Loading filter Siteroot
DEBUG   |170219 05:08:23|-- Loading filter Excludefolders
DEBUG   |170219 05:08:23|-- Loading filter Libraries
DEBUG   |170219 05:08:23|-- Loading filter Sitedb
DEBUG   |170219 05:08:23|-- Loading filter Systemcachefiles
DEBUG   |170219 05:08:23|-- Loading filter Joomlaskipdirs
DEBUG   |170219 05:08:23|Loading optional filters
DEBUG   |170219 05:08:23|-- Loading optional filter Stack\StackErrorlogs
DEBUG   |170219 05:08:23|-- Loading optional filter Stack\StackHoststats
DEBUG   |170219 05:08:23|-- Loading optional filter Stack\StackFinder
DEBUG   |170219 05:58:17| -- Resetting Akeeba Engine factory (backend.id25)
DEBUG   |170219 05:58:17|Fetching filter data from database
DEBUG   |170219 05:58:17|Loading filters
DEBUG   |170219 05:58:17|-- Loading filter Regextabledata
